Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
umpH,dual,pyrimidine ribonucleotide biosynthesis,GO:0046050 - UMP catabolic process,GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0004035 - alkaline phosphatase activity; GO:0008253 - 5'-nucleotidase activity; GO:0008967 - phosphoglycolate phosphatase activity; GO:0016787 - hydrolase activity; GO:0016791 - phosphatase activity; GO:0046872 - metal ion binding; GO:0106411 - XMP 5'-nucleosidase activity
nagC,dual,amino sugar conversions; Transcription related; activator; repressor; translation attenuation and efficiency; operon,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
nagA,dual,amino sugar conversions,GO:0006040 - amino sugar metabolic process; GO:0006044 - N-acetylglucosamine metabolic process; GO:0006046 - N-acetylglucosamine catabolic process; GO:0019262 - N-acetylneuraminate catabolic process; GO:0051289 - protein homotetramerization,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,"GO:0008270 - zinc ion binding; GO:0008448 - N-acetylglucosamine-6-phosphate deacetylase activity; GO:0016787 - hydrolase activity; GO:0016810 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0047419 - N-acetylgalactosamine-6-phosphate deacetylase activity"
nagB,dual,amino sugar conversions,GO:0005975 - carbohydrate metabolic process; GO:0006043 - glucosamine catabolic process; GO:0006044 - N-acetylglucosamine metabolic process; GO:0006046 - N-acetylglucosamine catabolic process; GO:0006048 - UDP-N-acetylglucosamine biosynthetic process; GO:0008152 - metabolic process; GO:0019262 - N-acetylneuraminate catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004342 - glucosamine-6-phosphate deaminase activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity; GO:0042802 - identical protein binding
nirC,repressor,"nitrogen metabolism; Porters (Uni-, Sym- and Antiporters); membrane",GO:0015707 - nitrite transport; GO:0015724 - formate transport; GO:0042128 - nitrate assimilation; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015113 - nitrite transmembrane transporter activity; GO:0015499 - formate transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
nirB,repressor,nitrogen metabolism,GO:0006113 - fermentation; GO:0006116 - NADH oxidation; GO:0042128 - nitrate assimilation,GO:0005829 - cytosol; GO:0009344 - nitrite reductase complex [NAD(P)H],"GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0020037 - heme binding; GO:0046872 - metal ion binding; GO:0050660 - flavin adenine dinucleotide binding; GO:0050661 - NADP binding; GO:0051536 - iron-sulfur cluster binding; GO:0051537 - 2 iron, 2 sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding; GO:0106316 - nitrite reductase NADH activity"
nirD,repressor,nitrogen metabolism,GO:0042128 - nitrate assimilation; GO:0051348 - negative regulation of transferase activity,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009344 - nitrite reductase complex [NAD(P)H],"GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0051537 - 2 iron, 2 sulfur cluster binding; GO:0106316 - nitrite reductase NADH activity"
cysG,repressor,"heme, porphyrine",GO:0006779 - porphyrin-containing compound biosynthetic process; GO:0006970 - response to osmotic stress; GO:0008152 - metabolic process; GO:0009236 - cobalamin biosynthetic process; GO:0019354 - siroheme biosynthetic process; GO:0032259 - methylation,GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004325 - ferrochelatase activity; GO:0004851 - uroporphyrin-III C-methyltransferase activity; GO:0008168 - methyltransferase activity; GO:0016491 - oxidoreductase activity; GO:0016740 - transferase activity; GO:0016829 - lyase activity; GO:0042803 - protein homodimerization activity; GO:0043115 - precorrin-2 dehydrogenase activity; GO:0051266 - sirohydrochlorin ferrochelatase activity; GO:0051287 - NAD binding
nrdA,activator,nucleotide and nucleoside conversions,GO:0006260 - DNA replication; GO:0006457 - protein folding; GO:0008152 - metabolic process; GO:0009185 - ribonucleoside diphosphate metabolic process; GO:0009263 - deoxyribonucleotide biosynthetic process; GO:0009265 - 2'-deoxyribonucleotide biosynthetic process; GO:0015949 - nucleobase-containing small molecule interconversion,GO:0005829 - cytosol; GO:0005971 - ribonucleoside-diphosphate reductase complex,"GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004748 - ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016491 - oxidoreductase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0044183 - protein folding chaperone"
yfaE,activator,posttranslational modification,GO:0006124 - ferredoxin metabolic process; GO:0030091 - protein repair,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051537 - 2 iron, 2 sulfur cluster binding"
nrdB,activator,nucleotide and nucleoside conversions,GO:0009185 - ribonucleoside diphosphate metabolic process; GO:0009263 - deoxyribonucleotide biosynthetic process; GO:0009265 - 2'-deoxyribonucleotide biosynthetic process; GO:0015949 - nucleobase-containing small molecule interconversion,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005971 - ribonucleoside-diphosphate reductase complex,"GO:0004748 - ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; GO:0005506 - iron ion binding; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding"
ompA,activator,membrane,GO:0006811 - monoatomic ion transport; GO:0006974 - DNA damage response; GO:0009597 - detection of virus; GO:0034220 - monoatomic ion transmembrane transport; GO:0046718 - symbiont entry into host cell,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0019867 - outer membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0046930 - pore complex; GO:0106234 - outer membrane protein complex,GO:0005515 - protein binding; GO:0015075 - monoatomic ion transmembrane transporter activity; GO:0015288 - porin activity; GO:0042802 - identical protein binding; GO:0042834 - peptidoglycan binding
mazE,activator,"defense/survival; starvation; other (mechanical, nutritional, oxidative stress); cell killing; drug resistance/sensitivity",GO:0006355 - regulation of DNA-templated transcription; GO:0040008 - regulation of growth; GO:0044010 - single-species biofilm formation,GO:0005829 - cytosol; GO:0032991 - protein-containing complex; GO:0110001 - toxin-antitoxin complex,GO:0003677 - DNA binding; GO:0003690 - double-stranded DNA binding; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0044877 - protein-containing complex binding; GO:0097351 - toxin sequestering activity
mazF,activator,"RNA degradation; translation; translation attenuation and efficiency; defense/survival; starvation; other (mechanical, nutritional, oxidative stress); cell killing; drug resistance/sensitivity",GO:0006355 - regulation of DNA-templated transcription; GO:0006402 - mRNA catabolic process; GO:0006417 - regulation of translation; GO:0009372 - quorum sensing; GO:0016075 - rRNA catabolic process; GO:0030308 - negative regulation of cell growth; GO:0040008 - regulation of growth; GO:0043068 - positive regulation of programmed cell death; GO:0044010 - single-species biofilm formation; GO:0051607 - defense response to virus,GO:0005829 - cytosol; GO:0032991 - protein-containing complex; GO:0110001 - toxin-antitoxin complex,GO:0003677 - DNA binding; GO:0003723 - RNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004521 - RNA endonuclease activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity; GO:0042803 - protein homodimerization activity; GO:0044877 - protein-containing complex binding; GO:0140677 - molecular function activator activity
relA,activator,nucleotide and nucleoside conversions; unknown; ribosomes,GO:0015949 - nucleobase-containing small molecule interconversion; GO:0015969 - guanosine tetraphosphate metabolic process; GO:0015970 - guanosine tetraphosphate biosynthetic process; GO:0016310 - phosphorylation; GO:0042594 - response to starvation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane,"GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0005525 - GTP binding; GO:0008728 - GTP diphosphokinase activity; GO:0008893 - guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity"
fis,dual,"DNA recombination; Transcription related; nucleoproteins, basic proteins; activator; repressor",GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0009314 - response to radiation; GO:0032359 - provirus excision; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription; GO:0045911 - positive regulation of DNA recombination; GO:0051276 - chromosome organization,GO:0000786 - nucleosome; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009295 - nucleoid; GO:0031421 - invertasome; GO:0032993 - protein-DNA complex,"GO:0000976 - transcription cis-regulatory region binding; GO:0001046 - core promoter sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0043565 - sequence-specific DNA binding; GO:0044374 - sequence-specific DNA binding, bending"
dusB,dual,RNA modification,GO:0002943 - tRNA dihydrouridine synthesis; GO:0008033 - tRNA processing; GO:0009314 - response to radiation,GO:0005829 - cytosol,GO:0000049 - tRNA binding; GO:0003723 - RNA binding; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0017150 - tRNA dihydrouridine synthase activity; GO:0050660 - flavin adenine dinucleotide binding
galS,activator,carbon compounds; Transcription related; repressor; operon,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
glnG,dual,glutamine; Transcription related; activator; repressor; two component regulatory systems (external signal); operon,GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0006808 - regulation of nitrogen utilization; GO:0009399 - nitrogen fixation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000156 - phosphorelay response regulator activity; GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0043565 - sequence-specific DNA binding
glnZ,dual,antisense RNA,,,
glnL,dual,"glutamine; posttranslational modification; two component regulatory systems (external signal); covalent modification, demodification, maturation",GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0006470 - protein dephosphorylation; GO:0007165 - signal transduction; GO:0009399 - nitrogen fixation; GO:0016310 - phosphorylation; GO:0023019 - signal transduction involved in regulation of gene expression; GO:0051171 - regulation of nitrogen compound metabolic process; GO:0090593 - peptidyl-histidine autophosphorylation,GO:0005737 - cytoplasm; GO:0005886 - plasma membrane,"GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004673 - protein histidine kinase activity; GO:0004721 - phosphoprotein phosphatase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0016774 - phosphotransferase activity, carboxyl group as acceptor; GO:0016787 - hydrolase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity"
glnA,dual,glutamine; nitrogen metabolism,GO:0006542 - glutamine biosynthetic process; GO:0009314 - response to radiation; GO:0019676 - ammonia assimilation cycle; GO:0019740 - nitrogen utilization,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane,"GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004356 - glutamine synthetase activity; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0016879 - ligase activity, forming carbon-nitrogen bonds; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding"
glpA,activator,anaerobic respiration; electron donors; misc. glycerol metabolism; membrane,GO:0006072 - glycerol-3-phosphate metabolic process; GO:0006796 - phosphate-containing compound metabolic process; GO:0009061 - anaerobic respiration; GO:0019563 - glycerol catabolic process; GO:0019637 - organophosphate metabolic process; GO:0046168 - glycerol-3-phosphate catabolic process; GO:0046174 - polyol catabolic process,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009331 - glycerol-3-phosphate dehydrogenase complex; GO:0016020 - membrane,GO:0004368 - glycerol-3-phosphate dehydrogenase (quinone) activity; GO:0005515 - protein binding; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0050660 - flavin adenine dinucleotide binding
glpB,activator,anaerobic respiration; electron donors; misc. glycerol metabolism; membrane,GO:0006072 - glycerol-3-phosphate metabolic process; GO:0009061 - anaerobic respiration; GO:0019563 - glycerol catabolic process; GO:0046168 - glycerol-3-phosphate catabolic process,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009331 - glycerol-3-phosphate dehydrogenase complex; GO:0016020 - membrane,GO:0004368 - glycerol-3-phosphate dehydrogenase (quinone) activity; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity
